Date,Company_Name,Campaign_Name,Channel,Region,Country,Impressions,Clicks,CTR (%),Spend ($),CPC ($),Leads,Conversions,Conversion Rate (%),Revenue ($),ROAS,Customer Segment
2024-01-16,Apex Marketing Group,Lead Generation,LinkedIn,Europe,France,38825,1407,8.36,1907.84,1.58,273,85,12.25,1670.15,7.34,SMB
2024-01-17,GrowthSpark Marketing,Lead Generation,Google Ads,Asia,Japan,30100,3476,0.51,3152.43,3.74,307,20,4.36,1917.94,7.62,Returning Customers
2024-01-18,GrowthSpark Marketing,Lead Generation,LinkedIn,Middle East,Japan,5994,165,3.42,773.18,2.38,91,50,3.62,8605.42,6.69,Returning Customers
2024-01-19,GrowthSpark Marketing,Product Launch,Twitter,Asia,Germany,5234,2145,2.79,4123.87,4.95,322,164,12.47,2782.48,3.14,New Customers
2024-01-20,ShopNest,Email Nurture,LinkedIn,North America,Netherlands,4764,1851,2.72,1213.4,0.46,442,92,14.81,18282.02,7.29,Enterprise
2024-01-21,CloudNova,Email Nurture,Twitter,Middle East,Netherlands,44949,2196,1.15,3278.79,1.9,33,88,8.57,9458.65,7.86,Returning Customers
2024-01-22,Apex Marketing Group,Brand Awareness,Instagram,North America,Saudi Arabia,38405,1670,2.28,2055.73,2.51,26,69,4.53,11426.1,3.13,Returning Customers
2024-01-23,CloudNova,Brand Awareness,Instagram,Asia,UAE,35872,4830,5.78,3000.42,2.62,325,37,6.28,18569.31,2.45,Returning Customers
2024-01-24,GrowthSpark Marketing,Lead Generation,LinkedIn,Middle East,UAE,43215,3000,3.27,581.88,1.72,289,140,2.97,10652.24,4.6,Returning Customers
2024-01-25,GrowthSpark Marketing,Brand Awareness,LinkedIn,Asia,United States,24185,3842,4.47,133.72,3.7,52,99,11.55,7136.46,1.9,SMB
2024-01-26,CloudNova,Product Launch,Twitter,Middle East,United States,44442,2991,4.08,4552.34,4.4,9,125,11.72,15963.39,0.74,SMB
2024-01-27,CloudNova,Email Nurture,Google Ads,Asia,Netherlands,42153,4955,8.82,1384.67,4.71,254,168,13.19,8912.72,7.59,Enterprise
2024-01-28,CloudNova,Lead Generation,Twitter,Europe,Germany,12999,1027,9.1,4107.4,4.06,167,54,0.89,6437.54,7.44,New Customers
2024-01-29,GrowthSpark Marketing,Brand Awareness,Google Ads,Asia,India,37487,3116,5.18,4996.78,4.28,206,130,8.65,14492.27,1.72,New Customers
2024-01-30,GrowthSpark Marketing,Product Launch,Instagram,Europe,Japan,3581,833,3.64,1096.58,2.84,471,178,3.61,16051.95,3.56,New Customers
2024-01-31,Apex Marketing Group,Product Launch,Facebook,Asia,India,3763,290,1.51,1362.6,4.16,105,41,5.44,15855.15,6.73,Returning Customers
2024-02-01,Apex Marketing Group,Brand Awareness,LinkedIn,Middle East,Saudi Arabia,28374,1603,9.56,3331.16,1.66,75,45,11.88,19555.72,5.46,SMB
2024-02-02,GrowthSpark Marketing,Email Nurture,Google Ads,Middle East,Australia,39759,4628,1.07,4828.97,2.11,434,103,3.28,15754.67,3.46,SMB
2024-02-03,CloudNova,Brand Awareness,Twitter,Middle East,Netherlands,11531,1062,3.33,4583.28,1.72,167,106,9.76,15421.68,6.08,Enterprise
2024-02-04,CloudNova,Lead Generation,Instagram,South America,Netherlands,26307,236,3.33,2539.23,2.44,177,137,9.99,17163.96,7.23,New Customers
2024-02-05,Apex Marketing Group,Brand Awareness,Google Ads,North America,Australia,31835,1931,3.54,3985.8,1.57,145,190,14.33,103.69,7.45,SMB
2024-02-06,GrowthSpark Marketing,Product Launch,Twitter,Middle East,Singapore,12064,4636,2.06,721.94,4.82,142,128,11.74,7312.39,3.34,Enterprise
2024-02-07,Apex Marketing Group,Brand Awareness,LinkedIn,Europe,Canada,12312,480,7.94,4888.32,1.7,70,86,12.15,14778.3,1.8,New Customers
2024-02-08,Apex Marketing Group,Email Nurture,LinkedIn,Middle East,Brazil,38548,288,1.66,4823.55,0.67,202,47,8.21,12034.41,7.35,Returning Customers
2024-02-09,ShopNest,Seasonal Sale,Email,South America,United States,37945,2395,6.53,860.46,2.73,332,5,3.21,3633.68,1.19,SMB
2024-02-10,ShopNest,Brand Awareness,Facebook,Europe,Canada,48937,125,1.68,1532.14,0.47,232,1,6.67,6144.29,5.91,SMB
2024-02-11,ShopNest,Email Nurture,Email,South America,France,7476,1406,1.17,545.77,0.73,285,44,8.47,6802.17,1.55,New Customers
2024-02-12,CloudNova,Email Nurture,Instagram,Europe,Germany,25565,4972,9.14,1395.0,1.25,176,150,10.34,11399.78,3.42,Returning Customers
2024-02-13,GrowthSpark Marketing,Product Launch,Google Ads,Asia,Germany,3382,2380,2.31,4088.98,2.43,320,38,9.31,16648.81,3.59,Returning Customers
2024-02-14,GrowthSpark Marketing,Email Nurture,Instagram,North America,Australia,23463,4736,8.3,1922.66,2.28,435,19,6.21,18656.59,1.69,SMB
2024-02-15,GrowthSpark Marketing,Email Nurture,Twitter,North America,UAE,46276,1952,5.67,487.56,4.04,44,159,4.35,15026.84,7.42,New Customers
2024-02-16,GrowthSpark Marketing,Email Nurture,LinkedIn,South America,Japan,34402,4063,1.24,1744.02,3.75,11,115,2.94,16874.71,0.52,Enterprise
2024-02-17,ShopNest,Email Nurture,Email,North America,India,27345,4720,9.58,4907.85,2.25,178,195,10.56,9454.91,7.2,SMB
2024-02-18,CloudNova,Lead Generation,Email,South America,United States,45764,2109,2.85,3166.93,1.8,155,87,9.86,7856.53,7.13,Returning Customers
2024-02-19,CloudNova,Lead Generation,Email,South America,Canada,27946,190,8.67,2110.0,1.72,215,170,10.47,7914.9,2.88,Enterprise
2024-02-20,ShopNest,Product Launch,Instagram,South America,India,15162,1839,2.1,874.37,3.92,306,123,5.9,12359.17,5.78,New Customers
2024-02-21,CloudNova,Brand Awareness,LinkedIn,North America,UAE,47773,3676,8.61,4931.58,0.45,90,82,4.3,2572.31,2.4,Returning Customers
2024-02-22,ShopNest,Email Nurture,Google Ads,South America,Canada,9397,66,0.63,4113.2,0.26,401,154,11.52,11631.93,6.19,Enterprise
2024-02-23,GrowthSpark Marketing,Brand Awareness,Twitter,North America,Netherlands,23335,4398,5.36,1443.31,4.02,257,141,11.72,13336.14,4.71,SMB
2024-02-24,ShopNest,Brand Awareness,Google Ads,South America,South Africa,46095,514,7.81,396.84,2.49,25,58,7.11,8834.28,2.75,Returning Customers
2024-02-25,GrowthSpark Marketing,Product Launch,Instagram,Middle East,Brazil,15394,4521,9.38,330.3,0.83,261,146,9.37,19068.03,3.5,New Customers
2024-02-26,GrowthSpark Marketing,Email Nurture,Twitter,South America,France,28197,1877,9.14,645.87,1.33,383,67,5.92,12203.44,5.67,Returning Customers
2024-02-27,Apex Marketing Group,Email Nurture,Email,Europe,Singapore,23010,3078,8.29,2924.8,4.68,407,122,10.68,4477.99,7.3,SMB
2024-02-28,ShopNest,Seasonal Sale,Facebook,South America,France,25123,569,8.94,4647.38,4.33,385,87,12.62,9636.4,1.48,New Customers
2024-02-29,Apex Marketing Group,Brand Awareness,Instagram,Asia,India,23387,139,2.39,2508.88,3.61,448,131,10.48,13540.55,4.79,SMB
2024-03-01,ShopNest,Brand Awareness,Instagram,South America,India,3890,4865,3.2,4222.58,2.51,37,55,7.93,6540.22,2.4,Enterprise
2024-03-02,ShopNest,Lead Generation,LinkedIn,Europe,Singapore,28769,2901,3.25,2257.14,2.7,264,89,7.15,1684.87,6.51,Returning Customers
2024-03-03,Apex Marketing Group,Seasonal Sale,Google Ads,Europe,India,44626,2893,4.08,3557.49,4.88,238,58,9.81,11710.37,1.03,SMB
2024-03-04,Apex Marketing Group,Lead Generation,Instagram,North America,Singapore,9026,4775,4.24,3672.77,4.84,7,63,10.36,18962.62,5.67,Enterprise
2024-03-05,ShopNest,Lead Generation,Instagram,Middle East,Canada,4306,1934,5.67,911.12,1.23,351,91,8.6,9752.93,1.81,New Customers
2024-03-06,CloudNova,Lead Generation,Email,South America,Singapore,34665,4221,2.02,1838.02,4.09,312,52,9.56,18131.57,4.97,New Customers
2024-03-07,GrowthSpark Marketing,Product Launch,Email,North America,Brazil,10277,975,7.07,3204.65,1.15,493,126,1.9,16716.97,6.77,Enterprise
2024-03-08,Apex Marketing Group,Product Launch,Twitter,Middle East,Singapore,43239,3784,2.09,399.95,1.22,231,24,14.3,3033.51,6.16,Enterprise
2024-03-09,GrowthSpark Marketing,Lead Generation,Facebook,South America,South Africa,48664,1019,3.45,1839.62,3.45,288,72,11.97,14192.58,6.15,New Customers
2024-03-10,CloudNova,Seasonal Sale,LinkedIn,Asia,Netherlands,49008,1144,5.28,2697.26,2.14,74,9,5.92,8765.76,4.38,SMB
2024-03-11,CloudNova,Brand Awareness,Facebook,South America,Singapore,15683,3245,8.07,4981.31,4.67,458,110,8.66,5079.9,7.18,Enterprise
2024-03-12,CloudNova,Seasonal Sale,Twitter,Europe,United Kingdom,1670,1454,7.52,2398.94,0.63,443,165,1.19,13770.07,4.91,SMB
2024-03-13,Apex Marketing Group,Email Nurture,Email,Europe,Singapore,24675,3414,6.63,4089.48,2.66,317,94,1.1,14878.95,7.38,New Customers
2024-03-14,CloudNova,Product Launch,Google Ads,Asia,India,18889,4340,1.98,2188.73,4.61,368,117,4.14,3679.94,4.6,SMB
2024-03-15,Apex Marketing Group,Brand Awareness,Email,North America,South Africa,45535,4032,5.7,3992.13,4.54,475,83,10.5,18297.45,4.29,SMB
2024-03-16,CloudNova,Brand Awareness,LinkedIn,Middle East,Japan,14006,4373,1.33,2997.3,0.95,258,181,12.86,15047.83,2.17,Enterprise
2024-03-17,GrowthSpark Marketing,Email Nurture,Email,South America,Saudi Arabia,49536,4063,4.08,4438.65,1.96,485,80,8.61,18674.17,4.59,SMB
2024-03-18,GrowthSpark Marketing,Email Nurture,LinkedIn,Europe,South Africa,27531,4606,4.43,2084.17,3.17,148,152,8.22,6409.76,1.55,SMB
2024-03-19,ShopNest,Lead Generation,LinkedIn,North America,UAE,22639,4763,0.88,3041.31,0.97,28,149,6.33,18792.77,7.02,SMB
2024-03-20,GrowthSpark Marketing,Product Launch,LinkedIn,Asia,Saudi Arabia,17633,3142,3.1,3168.59,4.85,457,100,2.84,7433.5,5.57,New Customers
2024-03-21,ShopNest,Product Launch,Twitter,Europe,United States,35660,4209,9.58,2116.05,4.59,429,40,2.22,1174.0,7.95,New Customers
2024-03-22,GrowthSpark Marketing,Seasonal Sale,LinkedIn,Asia,United States,4439,2124,9.56,764.34,1.0,238,103,11.53,15283.09,1.19,Returning Customers
2024-03-23,Apex Marketing Group,Lead Generation,LinkedIn,South America,UAE,33172,334,3.85,513.12,0.78,337,62,13.95,14099.81,2.31,New Customers
2024-03-24,GrowthSpark Marketing,Lead Generation,Google Ads,Middle East,South Africa,36622,4983,0.91,132.52,0.61,179,198,7.15,11998.43,7.08,New Customers
2024-03-25,ShopNest,Lead Generation,Facebook,Europe,Canada,12577,4976,2.2,4373.99,4.57,336,69,10.06,9848.89,3.46,Returning Customers
2024-03-26,ShopNest,Lead Generation,Instagram,Europe,UAE,12763,1237,4.23,1220.55,1.13,329,142,13.76,740.09,4.0,Returning Customers
2024-03-27,CloudNova,Product Launch,Facebook,South America,Netherlands,21176,4019,9.5,1096.96,2.2,361,109,1.81,12529.49,6.95,Enterprise
2024-03-28,Apex Marketing Group,Product Launch,LinkedIn,North America,Saudi Arabia,45386,3015,1.84,3693.38,2.35,163,170,11.67,8395.01,4.41,Enterprise
2024-03-29,GrowthSpark Marketing,Lead Generation,Google Ads,Middle East,Saudi Arabia,25255,4369,7.75,1634.08,3.08,352,178,9.44,11248.17,1.95,New Customers
2024-03-30,CloudNova,Seasonal Sale,Email,Europe,India,42003,833,1.53,2554.92,0.54,352,189,9.18,8643.49,7.19,SMB
2024-03-31,GrowthSpark Marketing,Brand Awareness,Google Ads,Middle East,Australia,20996,999,9.82,854.43,1.29,290,4,4.74,19324.52,0.73,Enterprise
2024-04-01,GrowthSpark Marketing,Brand Awareness,LinkedIn,Europe,Germany,36386,3989,4.13,4800.74,4.67,22,72,10.42,12121.77,7.22,Enterprise
2024-04-02,CloudNova,Seasonal Sale,Google Ads,Middle East,United Kingdom,22062,94,7.86,4265.33,4.56,48,17,12.02,15009.8,0.88,New Customers
2024-04-03,CloudNova,Lead Generation,Google Ads,Asia,Saudi Arabia,36931,1860,3.75,4325.76,3.95,159,114,2.14,18733.3,5.49,SMB
2024-04-04,CloudNova,Product Launch,LinkedIn,Europe,Japan,36710,4616,6.46,2063.53,0.29,359,85,8.24,11872.83,1.04,Returning Customers
2024-04-05,CloudNova,Brand Awareness,Twitter,Middle East,UAE,35693,2131,2.32,3823.69,1.77,414,57,1.97,340.04,5.8,Returning Customers
2024-04-06,CloudNova,Email Nurture,Google Ads,North America,Brazil,36740,3548,1.89,762.19,3.21,381,107,13.15,782.4,0.75,New Customers
2024-04-07,GrowthSpark Marketing,Email Nurture,Instagram,Asia,Singapore,12705,879,9.41,92.66,1.52,235,48,7.86,14076.53,6.82,New Customers
2024-04-08,CloudNova,Seasonal Sale,Instagram,Asia,Australia,44408,1959,9.22,148.87,4.57,375,172,12.22,5653.79,3.99,SMB
2024-04-09,Apex Marketing Group,Lead Generation,Google Ads,North America,Saudi Arabia,29047,2631,8.93,2953.68,3.24,320,173,5.84,11629.66,1.2,New Customers
2024-04-10,ShopNest,Brand Awareness,Twitter,Middle East,UAE,11966,741,6.44,2304.2,0.55,406,117,2.31,4125.32,5.8,New Customers
2024-04-11,CloudNova,Lead Generation,Email,South America,France,18374,4069,8.18,2614.18,4.56,229,161,1.1,5477.95,4.17,New Customers
2024-04-12,CloudNova,Brand Awareness,LinkedIn,North America,Australia,12138,981,1.16,86.94,4.8,221,31,4.58,10142.36,1.93,SMB
2024-04-13,GrowthSpark Marketing,Seasonal Sale,Instagram,Middle East,Canada,16935,4986,3.68,2142.3,0.57,60,112,4.04,19513.83,0.62,New Customers
2024-04-14,CloudNova,Seasonal Sale,Email,North America,United Kingdom,46913,3456,3.48,3604.44,2.76,35,47,8.63,12363.78,3.63,Enterprise
2024-04-15,CloudNova,Email Nurture,Google Ads,North America,China,1489,197,6.54,2241.33,1.66,361,134,0.82,18729.35,1.14,SMB
2024-04-16,CloudNova,Lead Generation,Email,Europe,China,45516,1082,3.88,3674.49,2.09,63,108,8.05,19191.66,1.21,Enterprise
2024-04-17,GrowthSpark Marketing,Email Nurture,Facebook,Middle East,India,23260,1361,1.91,1203.44,1.06,384,72,6.18,4241.39,2.5,SMB
2024-04-18,CloudNova,Lead Generation,Instagram,South America,India,27069,437,6.17,4075.05,2.97,390,71,8.87,6292.75,5.23,Enterprise
2024-04-19,ShopNest,Email Nurture,Google Ads,Europe,Canada,20275,3171,8.24,2962.73,4.8,357,162,10.69,15422.85,4.47,SMB
2024-04-20,GrowthSpark Marketing,Product Launch,LinkedIn,North America,Brazil,37284,1923,4.13,1093.28,2.61,427,108,9.69,17348.6,1.02,Returning Customers
2024-04-21,ShopNest,Product Launch,Twitter,North America,India,40178,3638,1.76,1221.77,0.6,449,53,14.78,10432.61,7.76,New Customers
2024-04-22,GrowthSpark Marketing,Product Launch,Google Ads,North America,Germany,33821,965,2.37,3158.75,3.18,239,142,2.5,19865.2,7.15,New Customers
2024-04-23,CloudNova,Product Launch,LinkedIn,Middle East,Saudi Arabia,17999,1928,2.76,4158.2,1.83,111,16,6.73,330.29,2.44,SMB
2024-04-24,ShopNest,Brand Awareness,Twitter,Middle East,United Kingdom,39712,3798,3.35,2107.36,4.31,195,171,6.66,6061.89,1.42,Enterprise
2024-04-25,GrowthSpark Marketing,Product Launch,Twitter,Europe,South Africa,41172,327,6.61,1328.59,2.29,484,116,6.55,12500.92,7.57,Returning Customers
2024-04-26,Apex Marketing Group,Seasonal Sale,Google Ads,South America,UAE,34722,2027,6.21,4341.71,1.13,22,73,10.13,9438.87,3.96,Enterprise
2024-04-27,CloudNova,Seasonal Sale,Email,Europe,South Africa,11625,1909,7.11,3362.88,1.12,405,74,7.6,2420.4,2.83,New Customers
2024-04-28,GrowthSpark Marketing,Brand Awareness,Email,Asia,Canada,2629,3086,3.94,2268.02,3.89,230,81,8.0,7418.96,4.18,New Customers
2024-04-29,Apex Marketing Group,Product Launch,Twitter,North America,United States,11973,3421,8.33,2465.11,1.47,171,12,6.77,606.4,6.3,Enterprise
2024-04-30,GrowthSpark Marketing,Product Launch,Email,North America,UAE,7859,4763,2.44,1061.07,3.88,75,128,14.88,12890.65,1.76,SMB
2024-05-01,Apex Marketing Group,Product Launch,Facebook,North America,UAE,42609,2232,4.96,3152.67,1.19,366,70,13.95,17865.58,6.26,SMB
2024-05-02,CloudNova,Email Nurture,Twitter,Europe,France,44307,4725,8.11,1825.78,1.74,58,147,4.96,17709.0,6.12,Enterprise
2024-05-03,ShopNest,Lead Generation,Twitter,Europe,Canada,46450,1220,2.21,4978.44,2.43,249,41,2.12,14020.94,4.55,New Customers
2024-05-04,Apex Marketing Group,Email Nurture,LinkedIn,North America,Canada,37046,539,1.54,2426.91,4.73,487,181,12.68,9368.83,6.99,Enterprise
2024-05-05,GrowthSpark Marketing,Lead Generation,Email,Europe,China,22839,2575,8.89,2455.13,4.67,354,157,14.96,10289.43,1.49,New Customers
2024-05-06,CloudNova,Product Launch,Twitter,Middle East,Japan,28216,1232,3.76,2850.97,1.19,80,198,4.74,2824.68,4.97,Enterprise
2024-05-07,Apex Marketing Group,Product Launch,Facebook,Middle East,South Africa,19945,4529,7.0,4587.94,1.92,39,59,5.69,6886.24,3.87,SMB
2024-05-08,GrowthSpark Marketing,Email Nurture,LinkedIn,Europe,Brazil,7539,4308,0.74,4014.05,0.92,271,89,14.15,3835.79,3.67,Returning Customers
2024-05-09,GrowthSpark Marketing,Email Nurture,Google Ads,North America,Japan,34625,2538,7.06,2283.09,2.65,321,192,10.81,16441.88,2.39,New Customers
2024-05-10,GrowthSpark Marketing,Lead Generation,Twitter,Europe,Singapore,5886,1926,3.5,3607.56,2.41,304,24,4.79,18303.6,3.29,Returning Customers
2024-05-11,Apex Marketing Group,Seasonal Sale,Facebook,Europe,Germany,46713,2512,1.03,2951.87,4.52,125,144,8.93,10784.77,1.31,SMB
2024-05-12,Apex Marketing Group,Lead Generation,Instagram,Europe,Netherlands,8485,1680,6.29,2487.22,4.66,328,180,14.19,14582.5,2.39,Enterprise
2024-05-13,Apex Marketing Group,Email Nurture,Facebook,Asia,Singapore,32455,337,2.79,1001.96,2.04,29,80,12.27,2517.15,2.54,SMB
2024-05-14,ShopNest,Email Nurture,Facebook,Middle East,United States,47448,4332,4.17,2346.48,2.56,436,134,11.26,12209.84,5.91,Returning Customers
2024-05-15,Apex Marketing Group,Brand Awareness,LinkedIn,South America,UAE,17767,1957,1.27,1266.8,4.5,164,165,11.19,14085.54,0.86,SMB
2024-05-16,Apex Marketing Group,Email Nurture,Google Ads,South America,China,48165,1211,1.9,4578.47,4.07,88,132,3.08,9110.09,5.38,SMB
2024-05-17,Apex Marketing Group,Brand Awareness,Instagram,Asia,United States,29453,179,3.33,1710.26,0.22,118,92,12.46,4941.13,2.16,Enterprise
2024-05-18,ShopNest,Seasonal Sale,Email,Europe,UAE,11744,2413,1.35,4763.71,1.74,227,166,4.5,17559.75,1.11,Returning Customers
2024-05-19,Apex Marketing Group,Lead Generation,Email,Asia,Germany,38102,193,9.15,2688.62,2.22,392,169,13.99,14883.88,2.76,Returning Customers
2024-05-20,GrowthSpark Marketing,Lead Generation,Facebook,Asia,Japan,13226,65,0.56,3176.14,1.3,170,92,5.79,18007.16,2.18,Returning Customers
2024-05-21,Apex Marketing Group,Brand Awareness,LinkedIn,North America,Canada,28869,294,5.1,2737.56,1.16,195,81,12.94,16386.21,4.64,New Customers
2024-05-22,GrowthSpark Marketing,Lead Generation,LinkedIn,Middle East,India,23588,976,1.67,690.43,0.38,179,142,4.36,19808.45,3.18,SMB
2024-05-23,GrowthSpark Marketing,Email Nurture,Email,South America,South Africa,14440,3228,3.42,1910.32,3.29,5,71,7.96,3924.24,7.74,Returning Customers
2024-05-24,GrowthSpark Marketing,Product Launch,Instagram,Europe,India,32709,2226,9.3,540.77,1.46,391,179,2.05,1826.28,7.73,SMB
2024-05-25,ShopNest,Brand Awareness,Google Ads,South America,Saudi Arabia,48788,936,2.04,3133.62,0.45,233,65,10.07,6806.36,3.83,Enterprise
2024-05-26,ShopNest,Lead Generation,Instagram,South America,Australia,23495,390,9.68,2262.03,1.31,90,52,12.62,2667.18,6.46,Enterprise
2024-05-27,ShopNest,Brand Awareness,Twitter,Middle East,France,38019,2101,2.46,3901.03,4.05,66,30,10.92,10510.29,0.6,New Customers
2024-05-28,Apex Marketing Group,Brand Awareness,Twitter,South America,Brazil,45948,3448,7.54,1141.33,4.29,324,185,8.09,12697.28,4.61,New Customers
2024-05-29,GrowthSpark Marketing,Product Launch,Google Ads,South America,Germany,49908,4000,5.69,864.6,2.52,405,99,1.15,11607.94,6.07,Enterprise
2024-05-30,ShopNest,Email Nurture,Email,Asia,France,1922,355,8.9,2061.34,2.2,386,158,14.03,5258.88,2.13,Returning Customers
2024-05-31,ShopNest,Brand Awareness,Google Ads,Middle East,Saudi Arabia,28526,957,5.76,4636.6,4.89,210,98,10.73,18185.6,0.96,Enterprise
2024-06-01,Apex Marketing Group,Lead Generation,LinkedIn,North America,Saudi Arabia,8957,2704,5.58,3566.59,1.16,109,42,11.32,521.33,1.67,SMB
2024-06-02,ShopNest,Seasonal Sale,Twitter,Europe,Brazil,49564,3842,2.36,2123.67,1.23,322,139,12.02,7025.47,3.81,New Customers
2024-06-03,Apex Marketing Group,Brand Awareness,Facebook,South America,Netherlands,34998,4092,2.08,2610.5,1.6,295,27,11.34,14407.95,4.3,New Customers
2024-06-04,CloudNova,Brand Awareness,Facebook,Europe,UAE,44395,1421,9.21,466.85,1.03,254,152,6.9,15361.89,3.36,Enterprise
2024-06-05,ShopNest,Product Launch,Email,North America,France,25031,370,3.61,4923.65,2.02,17,167,11.14,8380.76,3.8,Returning Customers
2024-06-06,CloudNova,Email Nurture,LinkedIn,Europe,Japan,11006,4704,4.03,3348.72,4.57,167,72,9.56,436.51,4.03,Returning Customers
2024-06-07,Apex Marketing Group,Seasonal Sale,Instagram,North America,Brazil,38701,4109,7.72,1462.75,3.15,47,18,12.88,12399.07,6.27,SMB
2024-06-08,GrowthSpark Marketing,Lead Generation,LinkedIn,Asia,Saudi Arabia,48063,1181,3.72,2949.75,2.18,390,77,12.14,1355.58,1.29,New Customers
2024-06-09,ShopNest,Seasonal Sale,Facebook,South America,Japan,26939,2628,9.54,591.94,4.69,444,45,1.1,2246.33,6.27,Enterprise
2024-06-10,Apex Marketing Group,Lead Generation,Facebook,North America,Canada,21324,4092,7.51,4830.89,0.43,115,115,5.99,13039.99,5.66,Enterprise
2024-06-11,GrowthSpark Marketing,Email Nurture,Twitter,Europe,China,23867,3417,6.18,915.19,1.21,209,87,1.0,6318.52,6.06,New Customers
2024-06-12,GrowthSpark Marketing,Lead Generation,LinkedIn,South America,Japan,1203,867,8.87,3257.75,2.92,388,140,1.98,7025.8,6.01,Enterprise
2024-06-13,CloudNova,Product Launch,LinkedIn,Asia,UAE,17544,61,0.97,1265.0,3.15,260,177,9.22,9787.46,4.03,New Customers
2024-06-14,Apex Marketing Group,Product Launch,Facebook,South America,India,16899,244,2.94,3601.93,0.39,311,159,13.17,19573.71,2.09,Returning Customers
2024-06-15,GrowthSpark Marketing,Product Launch,Instagram,North America,France,30063,2587,4.92,3895.27,2.13,442,92,2.24,19312.3,4.52,Returning Customers
2024-06-16,ShopNest,Product Launch,Email,Asia,UAE,26344,2892,2.66,3383.43,3.32,148,22,7.04,8383.59,7.68,Enterprise
2024-06-17,ShopNest,Seasonal Sale,Email,Europe,Australia,4748,2279,7.57,3091.77,3.55,150,172,13.71,5383.43,4.91,Returning Customers
2024-06-18,CloudNova,Email Nurture,LinkedIn,Asia,South Africa,40486,3059,9.23,4467.72,3.26,395,92,12.31,6121.58,0.58,Returning Customers
2024-06-19,GrowthSpark Marketing,Lead Generation,Email,Asia,United Kingdom,2093,4801,4.53,439.2,1.74,305,192,8.04,5448.75,0.95,SMB
2024-06-20,Apex Marketing Group,Lead Generation,Facebook,Middle East,Saudi Arabia,16228,2127,3.75,1688.03,0.65,168,77,11.69,10691.69,7.95,New Customers
2024-06-21,ShopNest,Product Launch,Facebook,Asia,South Africa,21884,3917,9.63,1279.02,2.25,173,25,8.08,12176.51,1.04,New Customers
2024-06-22,GrowthSpark Marketing,Product Launch,LinkedIn,Asia,South Africa,26183,4923,4.73,4940.67,0.82,482,108,2.79,9826.71,0.85,Enterprise
2024-06-23,GrowthSpark Marketing,Brand Awareness,LinkedIn,South America,Brazil,17034,493,5.15,1977.48,4.75,302,179,2.31,8219.09,3.15,New Customers
2024-06-24,CloudNova,Email Nurture,Twitter,Europe,Germany,6710,347,3.84,3676.43,2.48,237,135,3.23,4304.57,7.77,SMB
2024-06-25,ShopNest,Seasonal Sale,LinkedIn,South America,Australia,43500,4953,9.14,3439.39,1.72,395,109,5.59,9701.86,2.89,Enterprise
2024-06-26,ShopNest,Lead Generation,Instagram,South America,India,20259,894,5.91,1099.8,3.88,275,134,13.99,6887.94,3.57,Enterprise
